time	Bz
1996-09-06T18:57:38.120	-759.295815284424
1996-09-06T18:57:38.486	-762.886102669541
1996-09-06T18:57:38.786	-765.086658568687
1996-09-06T18:57:39.153	-766.491908094748
1996-09-06T18:57:39.453	-768.544536362234
1996-09-06T18:57:39.820	-768.499089269666
1996-09-06T18:57:40.120	-766.813993014076
1996-09-06T18:57:40.486	-772.124527440774
1996-09-06T18:57:40.786	-770.69452811001
1996-09-06T18:57:41.153	-775.117941225217
1996-09-06T18:57:41.453	-775.650000072243
1996-09-06T18:57:41.820	-775.035434904211
1996-09-06T18:57:42.120	-778.849622348739
1996-09-06T18:57:42.486	-779.449146878395
1996-09-06T18:57:42.786	-782.416225253845
1996-09-06T18:57:43.153	-777.813324423311
1996-09-06T18:57:43.453	-781.399618846653
1996-09-06T18:57:43.820	-782.913649918506
1996-09-06T18:57:44.120	-784.023420513824
1996-09-06T18:57:44.486	-783.056403716432
1996-09-06T18:57:44.786	-785.513409388475
1996-09-06T18:57:45.153	-787.387156187191
1996-09-06T18:57:45.453	-789.830628237016
1996-09-06T18:57:45.820	-788.587018784146
1996-09-06T18:57:46.120	-790.49489437671
1996-09-06T18:57:46.486	-790.480579727223
1996-09-06T18:57:46.786	-792.244479730958
1996-09-06T18:57:47.153	-793.059855772252
1996-09-06T18:57:47.453	-792.233021164856
1996-09-06T18:57:47.820	-795.034893924815
1996-09-06T18:57:48.120	-794.870682717586
1996-09-06T18:57:48.486	-797.95552226183
1996-09-06T18:57:48.786	-797.793362267025
1996-09-06T18:57:49.153	-797.702122923481
1996-09-06T18:57:49.453	-799.899053144497
1996-09-06T18:57:49.820	-800.215477620626
1996-09-06T18:57:50.120	-802.046109597503
1996-09-06T18:57:50.486	-801.928292785078
1996-09-06T18:57:50.786	-804.466282237399
1996-09-06T18:57:51.153	-803.266175113642
1996-09-06T18:57:51.453	-805.648083300274
1996-09-06T18:57:51.820	-807.257104537762
1996-09-06T18:57:52.120	-809.328358603994
1996-09-06T18:57:52.486	-810.188524836216
1996-09-06T18:57:52.786	-812.874077725131
1996-09-06T18:57:53.153	-814.788236557821
1996-09-06T18:57:53.453	-817.000682199996
1996-09-06T18:57:53.820	-816.84161953827
1996-09-06T18:57:54.120	-818.946652972392
1996-09-06T18:57:54.486	-818.437913399524
1996-09-06T18:57:54.786	-820.953853622734
1996-09-06T18:57:55.153	-821.633922349963
1996-09-06T18:57:55.453	-824.114130259571
1996-09-06T18:57:55.820	-824.912321604789
1996-09-06T18:57:56.120	-828.543224967194
1996-09-06T18:57:56.486	-830.585986500615
1996-09-06T18:57:56.786	-832.248777899069
1996-09-06T18:57:57.153	-833.19520515142
1996-09-06T18:57:57.453	-832.113682135995
1996-09-06T18:57:57.820	-836.085202116295
1996-09-06T18:57:58.120	-837.663242545239
1996-09-06T18:57:58.486	-839.398625628069
1996-09-06T18:57:58.786	-839.168500045573
1996-09-06T18:57:59.153	-839.901939076197
1996-09-06T18:57:59.453	-843.190619527163
1996-09-06T18:57:59.820	-844.340530990383
1996-09-06T18:58:00.486	-845.130108679565
1996-09-06T18:58:00.786	-844.471754898954
1996-09-06T18:58:01.153	-850.428898443554
