time	By
1997-05-07T15:53:42.133	-120.96224327977
1997-05-07T15:53:42.467	-122.048481029209
1997-05-07T15:53:42.800	-121.925696090355
1997-05-07T15:53:43.133	-120.141508478018
1997-05-07T15:53:43.467	-121.129670939289
1997-05-07T15:53:43.800	-122.627372193749
1997-05-07T15:53:44.133	-120.652636503031
1997-05-07T15:53:44.467	-121.748632279697
1997-05-07T15:53:44.800	-119.845822766731
1997-05-07T15:53:45.133	-119.623357252771
1997-05-07T15:53:45.467	-120.849022681337
1997-05-07T15:53:45.800	-122.752756928825
1997-05-07T15:53:46.133	-122.668618056938
1997-05-07T15:53:46.467	-123.286960473437
1997-05-07T15:53:46.800	-124.662294128087
1997-05-07T15:53:47.133	-125.5330020977
1997-05-07T15:53:47.467	-125.520736063036
1997-05-07T15:53:47.800	-124.137316789116
1997-05-07T15:53:48.133	-123.308772283678
1997-05-07T15:53:48.467	-124.224884513223
1997-05-07T15:53:48.800	-125.616628735227
1997-05-07T15:53:49.133	-126.660843639053
1997-05-07T15:53:49.466	-126.954677868331
1997-05-07T15:53:49.800	-126.980982572646
1997-05-07T15:53:50.133	-127.295541369646
1997-05-07T15:53:50.467	-127.5070748704
1997-05-07T15:53:50.799	-127.731162070418
1997-05-07T15:53:51.133	-128.468561533095
1997-05-07T15:53:51.466	-128.52197001898
1997-05-07T15:53:51.800	-128.806502859432
1997-05-07T15:53:52.133	-129.370612063077
1997-05-07T15:53:52.467	-129.980514639272
1997-05-07T15:53:52.799	-130.199861476012
1997-05-07T15:53:53.133	-130.106021317421
1997-05-07T15:53:53.466	-129.661513971714
1997-05-07T15:53:53.800	-129.041352793646
1997-05-07T15:53:54.133	-129.18656959579
1997-05-07T15:53:54.467	-129.061204669059
1997-05-07T15:53:54.799	-128.877384872699
1997-05-07T15:53:55.133	-128.462603820892
1997-05-07T15:53:55.466	-128.563613805625
1997-05-07T15:53:55.800	-128.484847157618
1997-05-07T15:53:56.133	-128.758445064884
1997-05-07T15:53:56.467	-129.124319004618
1997-05-07T15:53:56.799	-129.419296489406
1997-05-07T15:53:57.133	-128.983136811709
1997-05-07T15:53:57.466	-128.316917312215
1997-05-07T15:53:57.800	-129.362183481026
1997-05-07T15:53:58.133	-130.940463935567
1997-05-07T15:53:58.467	-131.695664556734
1997-05-07T15:53:58.799	-132.183691876651
1997-05-07T15:53:59.133	-132.454551161493
1997-05-07T15:53:59.466	-133.318305673214
1997-05-07T15:53:59.800	-133.895511384689
1997-05-07T15:54:00.133	-134.459909031956
1997-05-07T15:54:00.467	-134.508015883096
1997-05-07T15:54:00.799	-134.939824911242
1997-05-07T15:54:01.133	-136.573727810552
1997-05-07T15:54:01.466	-137.830138874097
1997-05-07T15:54:01.800	-137.821873865845
1997-05-07T15:54:02.133	-137.237010049784
1997-05-07T15:54:02.467	-136.612412588626
1997-05-07T15:54:02.799	-136.278013856623
