time	By
2021-06-07T16:53:40.505	-4.6499
2021-06-07T16:53:41.505	-5.2041
2021-06-07T16:53:42.505	-5.5931
2021-06-07T16:53:43.505	-6.0887
2021-06-07T16:53:44.505	-6.3862
2021-06-07T16:53:45.505	-6.8703
2021-06-07T16:53:46.504	-7.1357
2021-06-07T16:53:47.504	-7.4426
2021-06-07T16:53:48.504	-7.6843
2021-06-07T16:53:49.504	-7.8718
2021-06-07T16:53:50.504	-8.1615
2021-06-07T16:53:51.504	-8.5436
2021-06-07T16:53:52.505	-8.98846
2021-06-07T16:53:53.504	-9.63798
2021-06-07T16:53:54.505	-10.30116
2021-06-07T16:53:55.505	-10.63597
2021-06-07T16:53:56.505	-10.8658
2021-06-07T16:53:57.505	-10.91231
2021-06-07T16:53:58.505	-10.87568
2021-06-07T16:53:59.505	-11.06141
2021-06-07T16:54:00.504	-11.36049
2021-06-07T16:54:01.504	-11.67108
2021-06-07T16:54:02.504	-12.02953
2021-06-07T16:54:03.504	-12.57212
2021-06-07T16:54:04.504	-13.24384
2021-06-07T16:54:05.504	-13.77958
2021-06-07T16:54:06.504	-14.20531
2021-06-07T16:54:07.505	-14.57775
2021-06-07T16:54:08.505	-14.98849
2021-06-07T16:54:09.505	-15.52075
2021-06-07T16:54:10.505	-16.13407
2021-06-07T16:54:11.505	-16.92317
2021-06-07T16:54:12.505	-17.6342
2021-06-07T16:54:13.504	-18.330516
2021-06-07T16:54:14.504	-19.099275
2021-06-07T16:54:15.504	-19.90133
2021-06-07T16:54:16.504	-20.70231
2021-06-07T16:54:17.504	-21.53075
2021-06-07T16:54:18.504	-22.49002
2021-06-07T16:54:19.505	-23.46006
2021-06-07T16:54:20.504	-24.44552
2021-06-07T16:54:21.505	-25.34365
2021-06-07T16:54:22.505	-26.09268
2021-06-07T16:54:23.505	-26.94571
2021-06-07T16:54:24.505	-27.68038
2021-06-07T16:54:25.505	-28.50661
2021-06-07T16:54:26.504	-29.178
2021-06-07T16:54:27.504	-29.7294
2021-06-07T16:54:28.504	-30.4892
2021-06-07T16:54:29.504	-31.2898
2021-06-07T16:54:30.504	-31.9788
2021-06-07T16:54:31.504	-32.7657
2021-06-07T16:54:32.504	-33.6284
2021-06-07T16:54:33.504	-34.4824
2021-06-07T16:54:34.505	-35.2808
2021-06-07T16:54:35.505	-36.2206
2021-06-07T16:54:36.505	-37.1131
2021-06-07T16:54:37.505	-38.1886
2021-06-07T16:54:38.505	-39.3355
2021-06-07T16:54:39.505	-40.3385
2021-06-07T16:54:40.504	-41.3844
2021-06-07T16:54:41.504	-42.1891
2021-06-07T16:54:42.504	-43.074
2021-06-07T16:54:43.504	-44.1554
2021-06-07T16:54:44.504	-45.0774
2021-06-07T16:54:45.504	-46.0234
2021-06-07T16:54:46.505	-47.2757
2021-06-07T16:54:47.504	-48.6171
2021-06-07T16:54:48.505	-49.9011
2021-06-07T16:54:49.505	-51.1885
2021-06-07T16:54:50.505	-52.4941
2021-06-07T16:54:51.505	-53.7742
2021-06-07T16:54:52.505	-54.9749
2021-06-07T16:54:53.504	-56.1841
2021-06-07T16:54:54.504	-57.4741
2021-06-07T16:54:55.504	-58.6395
2021-06-07T16:54:56.504	-59.761
2021-06-07T16:54:57.504	-60.8617
2021-06-07T16:54:58.504	-61.9853
2021-06-07T16:54:59.504	-63.1871
2021-06-07T16:55:00.504	-64.5362
2021-06-07T16:55:01.505	-65.9586
2021-06-07T16:55:02.505	-67.391
2021-06-07T16:55:03.505	-68.8429
2021-06-07T16:55:04.505	-70.3779
2021-06-07T16:55:05.505	-71.7236
2021-06-07T16:55:06.505	-73.018
2021-06-07T16:55:07.504	-74.3499
2021-06-07T16:55:08.504	-75.7196
2021-06-07T16:55:09.504	-76.9691
2021-06-07T16:55:10.504	-78.4526
2021-06-07T16:55:11.504	-80.0151
2021-06-07T16:55:12.504	-81.4371
2021-06-07T16:55:13.505	-82.7919
2021-06-07T16:55:14.505	-84.1355
2021-06-07T16:55:15.505	-85.4287
2021-06-07T16:55:16.505	-86.8189
2021-06-07T16:55:17.505	-88.2092
2021-06-07T16:55:18.505	-89.6526
2021-06-07T16:55:19.505	-91.1441
2021-06-07T16:55:20.504	-92.6576
2021-06-07T16:55:21.504	-94.0953
2021-06-07T16:55:22.504	-95.7919
2021-06-07T16:55:23.504	-97.3686
2021-06-07T16:55:24.504	-99.013
2021-06-07T16:55:25.504	-100.8249
2021-06-07T16:55:26.505	-102.5653
2021-06-07T16:55:27.504	-103.9927
2021-06-07T16:55:28.505	-105.2544
2021-06-07T16:55:29.505	-106.4229
2021-06-07T16:55:30.505	-107.9308
2021-06-07T16:55:31.505	-109.2963
2021-06-07T16:55:32.505	-110.7432
2021-06-07T16:55:33.505	-112.3669
2021-06-07T16:55:34.504	-114.0598
2021-06-07T16:55:35.504	-115.6377
2021-06-07T16:55:36.504	-117.1161
2021-06-07T16:55:37.504	-118.7315
2021-06-07T16:55:38.504	-120.374
2021-06-07T16:55:39.504	-122.013
2021-06-07T16:55:40.505	-123.596
2021-06-07T16:55:41.504	-125.345
2021-06-07T16:55:42.505	-126.956
2021-06-07T16:55:43.505	-128.529
2021-06-07T16:55:44.505	-130.174
2021-06-07T16:55:45.505	-131.838
2021-06-07T16:55:46.505	-133.505
2021-06-07T16:55:47.505	-135.074
2021-06-07T16:55:48.504	-136.693
2021-06-07T16:55:49.504	-138.255
2021-06-07T16:55:50.504	-139.955
2021-06-07T16:55:51.504	-141.641
2021-06-07T16:55:52.504	-143.408
2021-06-07T16:55:53.505	-145.065
2021-06-07T16:55:54.504	-146.744
2021-06-07T16:55:55.505	-148.47
2021-06-07T16:55:56.505	-150.056
2021-06-07T16:55:57.505	-151.614
2021-06-07T16:55:58.505	-153.135
2021-06-07T16:55:59.505	-154.488
2021-06-07T16:56:00.505	-155.945
2021-06-07T16:56:01.504	-157.496
2021-06-07T16:56:02.504	-158.951
2021-06-07T16:56:03.504	-160.544
2021-06-07T16:56:04.504	-162.028
2021-06-07T16:56:05.504	-163.439
2021-06-07T16:56:06.504	-164.883
2021-06-07T16:56:07.505	-166.573
2021-06-07T16:56:08.505	-168.275
2021-06-07T16:56:09.505	-170.292
2021-06-07T16:56:10.505	-172.09
2021-06-07T16:56:11.505	-173.758
