time	Bz
2021-06-07T16:53:40.505	89.0729
2021-06-07T16:53:41.505	89.4242
2021-06-07T16:53:42.505	89.6749
2021-06-07T16:53:43.505	89.8858
2021-06-07T16:53:44.505	89.996
2021-06-07T16:53:45.505	90.0967
2021-06-07T16:53:46.504	90.3368
2021-06-07T16:53:47.504	90.917
2021-06-07T16:53:48.504	91.6671
2021-06-07T16:53:49.504	92.4872
2021-06-07T16:53:50.504	93.2578
2021-06-07T16:53:51.504	93.9984
2021-06-07T16:53:52.505	94.6892
2021-06-07T16:53:53.504	95.1404
2021-06-07T16:53:54.505	95.5615
2021-06-07T16:53:55.505	95.9217
2021-06-07T16:53:56.505	96.1917
2021-06-07T16:53:57.505	96.4911
2021-06-07T16:53:58.505	96.8303
2021-06-07T16:53:59.505	97.2101
2021-06-07T16:54:00.504	97.7001
2021-06-07T16:54:01.504	98.1801
2021-06-07T16:54:02.504	98.5204
2021-06-07T16:54:03.504	98.8812
2021-06-07T16:54:04.504	99.332
2021-06-07T16:54:05.504	99.4926
2021-06-07T16:54:06.504	99.6628
2021-06-07T16:54:07.505	99.6529
2021-06-07T16:54:08.505	99.8031
2021-06-07T16:54:09.505	100.0835
2021-06-07T16:54:10.505	100.2343
2021-06-07T16:54:11.505	100.4054
2021-06-07T16:54:12.505	100.6463
2021-06-07T16:54:13.504	100.8771
2021-06-07T16:54:14.504	101.088
2021-06-07T16:54:15.504	101.279
2021-06-07T16:54:16.504	101.4801
2021-06-07T16:54:17.504	101.7712
2021-06-07T16:54:18.504	101.9427
2021-06-07T16:54:19.505	102.2041
2021-06-07T16:54:20.504	102.4857
2021-06-07T16:54:21.505	102.847
2021-06-07T16:54:22.505	103.2281
2021-06-07T16:54:23.505	103.6895
2021-06-07T16:54:24.505	103.9806
2021-06-07T16:54:25.505	104.482
2021-06-07T16:54:26.504	104.9532
2021-06-07T16:54:27.504	105.1839
2021-06-07T16:54:28.504	105.4652
2021-06-07T16:54:29.504	105.5368
2021-06-07T16:54:30.504	105.5975
2021-06-07T16:54:31.504	105.4887
2021-06-07T16:54:32.504	105.46
2021-06-07T16:54:33.504	105.7812
2021-06-07T16:54:34.505	105.9624
2021-06-07T16:54:35.505	106.3239
2021-06-07T16:54:36.505	106.7654
2021-06-07T16:54:37.505	106.9975
2021-06-07T16:54:38.505	107.3698
2021-06-07T16:54:39.505	107.7517
2021-06-07T16:54:40.504	108.2138
2021-06-07T16:54:41.504	108.7952
2021-06-07T16:54:42.504	109.1666
2021-06-07T16:54:43.504	109.6088
2021-06-07T16:54:44.504	110.1503
2021-06-07T16:54:45.504	110.8118
2021-06-07T16:54:46.505	111.3741
2021-06-07T16:54:47.504	111.697
2021-06-07T16:54:48.505	111.9798
2021-06-07T16:54:49.505	112.4724
2021-06-07T16:54:50.505	112.8451
2021-06-07T16:54:51.505	113.1079
2021-06-07T16:54:52.505	113.5203
2021-06-07T16:54:53.504	114.2027
2021-06-07T16:54:54.504	114.8353
2021-06-07T16:54:55.504	115.2777
2021-06-07T16:54:56.504	115.8298
2021-06-07T16:54:57.504	116.5317
2021-06-07T16:54:58.504	116.8238
2021-06-07T16:54:59.504	116.9559
2021-06-07T16:55:00.504	117.1085
2021-06-07T16:55:01.505	117.1913
2021-06-07T16:55:02.505	117.2641
2021-06-07T16:55:03.505	117.4572
2021-06-07T16:55:04.505	117.5006
2021-06-07T16:55:05.505	117.5733
2021-06-07T16:55:06.505	117.7357
2021-06-07T16:55:07.504	117.8482
2021-06-07T16:55:08.504	118.0309
2021-06-07T16:55:09.504	118.3533
2021-06-07T16:55:10.504	118.6963
2021-06-07T16:55:11.504	118.9196
2021-06-07T16:55:12.504	119.1026
2021-06-07T16:55:13.505	119.4054
2021-06-07T16:55:14.505	119.6682
2021-06-07T16:55:15.505	119.9808
2021-06-07T16:55:16.505	120.2338
2021-06-07T16:55:17.505	120.4868
2021-06-07T16:55:18.505	120.6899
2021-06-07T16:55:19.505	120.4831
2021-06-07T16:55:20.504	120.1862
2021-06-07T16:55:21.504	119.9488
2021-06-07T16:55:22.504	119.8221
2021-06-07T16:55:23.504	119.9252
2021-06-07T16:55:24.504	119.8787
2021-06-07T16:55:25.504	120.2328
2021-06-07T16:55:26.505	120.487
2021-06-07T16:55:27.504	120.4807
2021-06-07T16:55:28.505	120.624
2021-06-07T16:55:29.505	120.6464
2021-06-07T16:55:30.505	120.6396
2021-06-07T16:55:31.505	120.8224
2021-06-07T16:55:32.505	121.0855
2021-06-07T16:55:33.505	121.2191
2021-06-07T16:55:34.504	121.2029
2021-06-07T16:55:35.504	121.0264
2021-06-07T16:55:36.504	120.7697
2021-06-07T16:55:37.504	120.5032
2021-06-07T16:55:38.504	120.1868
2021-06-07T16:55:39.504	119.9904
2021-06-07T16:55:40.505	119.7439
2021-06-07T16:55:41.504	119.4578
