timebg	Bbgy
1996-09-06T18:32:44.787	-22.3779014695202
1996-09-06T18:32:45.154	-22.3754853598424
1996-09-06T18:32:45.454	-22.3735103383074
1996-09-06T18:32:45.821	-22.3710942286295
1996-09-06T18:32:46.121	-22.3691192070945
1996-09-06T18:32:46.487	-22.3667096808218
1996-09-06T18:32:46.787	-22.3647346592868
1996-09-06T18:32:47.154	-22.362318549609
1996-09-06T18:32:47.454	-22.3603435280739
1996-09-06T18:32:47.821	-22.3579274183961
1996-09-06T18:32:48.121	-22.3559523968611
1996-09-06T18:32:48.487	-22.3535428705884
1996-09-06T18:32:48.787	-22.3515678490533
1996-09-06T18:32:49.154	-22.3491517393755
1996-09-06T18:32:49.454	-22.3471767178405
1996-09-06T18:32:49.821	-22.3447606081627
1996-09-06T18:32:50.121	-22.3427855866276
1996-09-06T18:32:50.487	-22.3403760603549
1996-09-06T18:32:50.787	-22.3384010388199
1996-09-06T18:32:51.154	-22.3359849291421
1996-09-06T18:32:51.454	-22.3340099076071
1996-09-06T18:32:51.821	-22.3315937979292
1996-09-06T18:32:52.121	-22.3296187763942
1996-09-06T18:32:52.487	-22.3272092501215
1996-09-06T18:32:52.787	-22.3252342285865
1996-09-06T18:32:53.154	-22.3228181189086
1996-09-06T18:32:53.454	-22.3208430973736
1996-09-06T18:32:53.821	-22.3184269876958
1996-09-06T18:32:54.121	-22.3164519661608
1996-09-06T18:32:54.487	-22.3140424398881
1996-09-06T18:32:54.787	-22.312067418353
1996-09-06T18:32:55.154	-22.3096513086752
1996-09-06T18:32:55.454	-22.3076762871402
1996-09-06T18:32:55.821	-22.3052601774624
1996-09-06T18:32:56.121	-22.3032851559273
1996-09-06T18:32:56.487	-22.3008756296546
1996-09-06T18:32:56.787	-22.2989006081196
1996-09-06T18:32:57.154	-22.2964844984418
1996-09-06T18:32:57.454	-22.2945094769068
1996-09-06T18:32:57.821	-22.2920933672289
1996-09-06T18:32:58.121	-22.2901183456939
1996-09-06T18:32:58.487	-22.2877088194212
1996-09-06T18:32:58.787	-22.2857337978862
1996-09-06T18:32:59.154	-22.2833176882083
1996-09-06T18:32:59.454	-22.2813426666733
1996-09-06T18:32:59.821	-22.2789265569955
1996-09-06T18:33:00.121	-22.2769515354605
1996-09-06T18:33:00.487	-22.2745420091877
1996-09-06T18:33:00.787	-22.2725669876527
1996-09-06T18:33:01.154	-22.2701508779749
1996-09-06T18:33:01.454	-22.2681758564399
1996-09-06T18:33:01.821	-22.265759746762
1996-09-06T18:33:02.121	-22.263784725227
1996-09-06T18:33:02.487	-22.2613751989543
1996-09-06T18:33:02.787	-22.2594001774193
1996-09-06T18:33:03.154	-22.2569840677415
1996-09-06T18:33:03.454	-22.2550090462064
1996-09-06T18:33:03.821	-22.2525929365286
1996-09-06T18:33:04.121	-22.2506179149936
1996-09-06T18:33:04.487	-22.2482083887209
1996-09-06T18:33:04.787	-22.2462333671859
1996-09-06T18:33:05.154	-22.243817257508
1996-09-06T18:33:05.454	-22.241842235973
