time	Var2
1997-05-07T15:45:42.133	-3.72
1997-05-07T15:45:42.467	-3.65
1997-05-07T15:45:42.800	-4.08
1997-05-07T15:45:43.133	-4.51
1997-05-07T15:45:43.467	-4.36
1997-05-07T15:45:43.800	-4.31
1997-05-07T15:45:44.133	-4.18
1997-05-07T15:45:44.467	-4.01
1997-05-07T15:45:44.800	-3.96
1997-05-07T15:45:45.133	-3.74
1997-05-07T15:45:45.466	-3.73
1997-05-07T15:45:45.800	-3.61
1997-05-07T15:45:46.133	-3.62
1997-05-07T15:45:46.467	-3.56
1997-05-07T15:45:46.800	-3.54
1997-05-07T15:45:47.133	-3.59
1997-05-07T15:45:47.466	-3.66
1997-05-07T15:45:47.800	-3.7
1997-05-07T15:45:48.133	-3.82
1997-05-07T15:45:48.466	-4.09
1997-05-07T15:45:48.800	-4.15
1997-05-07T15:45:49.133	-4.43
1997-05-07T15:45:49.466	-4.5
1997-05-07T15:45:49.800	-4.62
1997-05-07T15:45:50.133	-4.64
1997-05-07T15:45:50.466	-4.7
1997-05-07T15:45:50.800	-4.67
1997-05-07T15:45:51.133	-4.63
1997-05-07T15:45:51.466	-4.59
1997-05-07T15:45:51.800	-4.58
1997-05-07T15:45:52.133	-4.67
1997-05-07T15:45:52.466	-4.65
1997-05-07T15:45:52.800	-4.73
1997-05-07T15:45:53.133	-4.79
1997-05-07T15:45:53.466	-4.73
1997-05-07T15:45:53.800	-4.77
1997-05-07T15:45:54.133	-4.74
1997-05-07T15:45:54.466	-4.7
1997-05-07T15:45:54.800	-4.83
1997-05-07T15:45:55.133	-4.94
1997-05-07T15:45:55.466	-4.9
1997-05-07T15:45:55.800	-4.86
1997-05-07T15:45:56.133	-4.9
1997-05-07T15:45:56.466	-4.78
1997-05-07T15:45:56.800	-4.74
1997-05-07T15:45:57.133	-4.77
1997-05-07T15:45:57.466	-4.7
1997-05-07T15:45:57.800	-4.69
1997-05-07T15:45:58.133	-4.49
1997-05-07T15:45:58.466	-4.56
1997-05-07T15:45:58.800	-4.62
1997-05-07T15:45:59.133	-4.46
1997-05-07T15:45:59.466	-4.4
1997-05-07T15:45:59.800	-4.49
1997-05-07T15:46:00.133	-4.5
1997-05-07T15:46:00.466	-4.53
1997-05-07T15:46:00.800	-4.4
1997-05-07T15:46:01.133	-4.49
1997-05-07T15:46:01.467	-4.5
1997-05-07T15:46:01.800	-4.42
1997-05-07T15:46:02.134	-4.46
1997-05-07T15:46:02.466	-4.52
1997-05-07T15:46:02.800	-4.55
1997-05-07T15:46:03.133	-4.48
1997-05-07T15:46:03.467	-4.67
1997-05-07T15:46:03.800	-4.78
1997-05-07T15:46:04.134	-4.75
1997-05-07T15:46:04.466	-4.71
1997-05-07T15:46:04.800	-4.64
1997-05-07T15:46:05.134	-4.78
1997-05-07T15:46:05.467	-4.76
1997-05-07T15:46:05.800	-4.81
1997-05-07T15:46:06.134	-4.92
1997-05-07T15:46:06.467	-5.05
1997-05-07T15:46:06.800	-5.23
1997-05-07T15:46:07.134	-5.31
1997-05-07T15:46:07.467	-5.4
1997-05-07T15:46:07.800	-5.46
1997-05-07T15:46:08.134	-5.53
1997-05-07T15:46:08.467	-5.56
1997-05-07T15:46:08.800	-5.73
1997-05-07T15:46:09.134	-5.74
1997-05-07T15:46:09.467	-5.83
1997-05-07T15:46:09.800	-5.99
1997-05-07T15:46:10.134	-5.99
1997-05-07T15:46:10.467	-5.82
1997-05-07T15:46:10.800	-5.77
1997-05-07T15:46:11.134	-5.75
1997-05-07T15:46:11.467	-5.72
1997-05-07T15:46:11.800	-5.79
1997-05-07T15:46:12.134	-5.91
1997-05-07T15:46:12.467	-5.82
1997-05-07T15:46:12.800	-5.84
1997-05-07T15:46:13.134	-5.8
1997-05-07T15:46:13.467	-6.01
1997-05-07T15:46:13.800	-6.09
1997-05-07T15:46:14.134	-6.31
1997-05-07T15:46:14.467	-6.66
1997-05-07T15:46:14.800	-6.88
1997-05-07T15:46:15.134	-6.86
1997-05-07T15:46:15.467	-6.77
1997-05-07T15:46:15.800	-6.4
1997-05-07T15:46:16.134	-6.11
1997-05-07T15:46:16.467	-5.88
1997-05-07T15:46:16.800	-5.34
1997-05-07T15:46:17.134	-5.25
1997-05-07T15:46:17.467	-5.39
1997-05-07T15:46:17.800	-5.55
1997-05-07T15:46:18.134	-5.6
1997-05-07T15:46:18.467	-5.72
1997-05-07T15:46:18.800	-5.73
1997-05-07T15:46:19.134	-5.82
1997-05-07T15:46:19.467	-5.8
1997-05-07T15:46:19.800	-5.73
1997-05-07T15:46:20.133	-5.62
1997-05-07T15:46:20.467	-5.41
1997-05-07T15:46:20.800	-5.25
1997-05-07T15:46:21.134	-5.23
1997-05-07T15:46:21.467	-5.05
1997-05-07T15:46:21.800	-5.02
1997-05-07T15:46:22.133	-4.94
