UTC time, Bx_high, By_high, Bz_high, Bx_low, By_low, Bz_low, Bx_simple, By_simple, Bz_simple, x (R_G), y(R_G), z(R_G)
2021-06-07T15:00:00.497,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,    -34.92521,    -32.58764,    -10.08966
2021-06-07T15:00:01.498,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,    -34.92040,    -32.58277,    -10.08814
2021-06-07T15:00:02.497,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,    -34.91560,    -32.57790,    -10.08661
2021-06-07T15:00:03.498,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,    -34.91080,    -32.57302,    -10.08509
2021-06-07T15:00:04.498,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,    -34.90599,    -32.56815,    -10.08356
2021-06-07T15:00:05.498,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,    -34.90119,    -32.56328,    -10.08203
2021-06-07T15:00:06.498,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,    -34.89639,    -32.55841,    -10.08051
2021-06-07T15:00:07.498,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,    -34.89159,    -32.55354,    -10.07898
2021-06-07T15:00:08.498,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,    -34.88678,    -32.54867,    -10.07746
2021-06-07T15:00:09.497,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,    -34.88198,    -32.54380,    -10.07593
2021-06-07T15:00:10.497,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,    -34.87718,    -32.53893,    -10.07441
2021-06-07T15:00:11.497,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,    -34.87238,    -32.53406,    -10.07288
2021-06-07T15:00:12.497,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,    -34.86758,    -32.52919,    -10.07136
2021-06-07T15:00:13.497,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,    -34.86277,    -32.52431,    -10.06983
2021-06-07T15:00:14.497,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,    -34.85797,    -32.51944,    -10.06831
2021-06-07T15:00:15.498,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,    -34.85316,    -32.51457,    -10.06678
2021-06-07T15:00:16.498,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,    -34.84836,    -32.50970,    -10.06525
2021-06-07T15:00:17.498,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,    -34.84355,    -32.50483,    -10.06373
2021-06-07T15:00:18.498,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,    -34.83875,    -32.49996,    -10.06220
2021-06-07T15:00:19.498,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,    -34.83395,    -32.49509,    -10.06068
2021-06-07T15:00:20.498,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,    -34.82914,    -32.49022,    -10.05915
2021-06-07T15:00:21.498,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,    -34.82434,    -32.48535,    -10.05762
2021-06-07T15:00:22.497,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,    -34.81954,    -32.48048,    -10.05610
2021-06-07T15:00:23.497,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,    -34.81473,    -32.47561,    -10.05457
2021-06-07T15:00:24.497,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,    -34.80993,    -32.47074,    -10.05305
2021-06-07T15:00:25.497,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,    -34.80513,    -32.46587,    -10.05152
2021-06-07T15:00:26.497,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,    -34.80032,    -32.46100,    -10.05000
2021-06-07T15:00:27.497,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,    -34.79552,    -32.45613,    -10.04847
2021-06-07T15:00:28.498,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,    -34.79071,    -32.45126,    -10.04694
2021-06-07T15:00:29.497,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,        0.000,    -34.78591,    -32.44639,    -10.04542
