1997-05-07T15:36:54.467 3945342:90:5:0     84.18     28.50     -8.59     89.28 5.44496 -0.29673 5.47743 5.20797
1997-05-07T15:36:54.801 3945343:00:0:0     84.10     28.79     -8.69     89.31 5.44495 -0.29674 5.59097 5.32160
1997-05-07T15:36:55.134 3945343:00:5:0     84.16     28.82     -8.61     89.37 5.44495 -0.29678 5.70096 5.43159
1997-05-07T15:36:55.467 3945343:01:0:0     84.13     28.94     -8.65     89.39 5.44495 -0.29683 5.81100 5.54163
1997-05-07T15:36:55.801 3945343:01:5:0     84.14     28.93     -8.58     89.38 5.44500 -0.29683 5.92135 5.65198
1997-05-07T15:36:56.134 3945343:02:0:0     84.16     28.92     -8.55     89.40 5.44505 -0.29683 6.03122 5.76183
1997-05-07T15:36:56.467 3945343:02:5:0     84.08     29.02     -8.53     89.35 5.44510 -0.29683 6.14128 5.87188
1997-05-07T15:36:56.801 3945343:03:0:0     84.06     29.03     -8.57     89.34 5.44515 -0.29683 6.25144 5.98202
1997-05-07T15:36:57.134 3945343:03:5:0     84.05     29.10     -8.47     89.34 5.44515 -0.29678 0.07836 6.09211
1997-05-07T15:36:57.467 3945343:04:0:0     83.98     28.91     -8.51     89.22 5.44515 -0.29674 0.18887 6.20263
1997-05-07T15:36:57.801 3945343:04:5:0     84.01     28.91     -8.53     89.25 5.44519 -0.29669 0.29934 0.02991
1997-05-07T15:36:58.134 3945343:05:0:0     83.88     29.10     -8.68     89.21 5.44524 -0.29664 0.40938 0.13992
1997-05-07T15:36:58.467 3945343:05:5:0     83.82     29.04     -8.68     89.14 5.44524 -0.29664 0.51956 0.25011
1997-05-07T15:36:58.801 3945343:06:0:0     83.91     28.83     -8.58     89.14 5.44524 -0.29664 0.63018 0.36072
1997-05-07T15:36:59.134 3945343:06:5:0     83.94     28.78     -8.56     89.14 5.44524 -0.29659 0.74041 0.47095
1997-05-07T15:36:59.467 3945343:07:0:0     84.03     28.75     -8.57     89.23 5.44524 -0.29654 0.85126 0.58180
1997-05-07T15:36:59.801 3945343:07:5:0     84.05     28.56     -8.45     89.17 5.44524 -0.29650 0.96186 0.69240
1997-05-07T15:37:00.134 3945343:08:0:0     84.08     28.58     -8.54     89.21 5.44524 -0.29645 1.07235 0.80289
1997-05-07T15:37:00.467 3945343:08:5:0     84.09     28.59     -8.54     89.23 5.44519 -0.29645 1.18266 0.91320
1997-05-07T15:37:00.801 3945343:09:0:0     84.11     28.76     -8.62     89.31 5.44515 -0.29645 1.29343 1.02400
1997-05-07T15:37:01.134 3945343:09:5:0     84.02     28.78     -8.71     89.24 5.44515 -0.29645 1.40378 1.13436
1997-05-07T15:37:01.467 3945343:10:0:0     84.10     28.93     -8.63     89.36 5.44515 -0.29645 1.51461 1.24518
1997-05-07T15:37:01.801 3945343:10:5:0     84.07     28.96     -8.66     89.34 5.44510 -0.29640 1.62533 1.35591
1997-05-07T15:37:02.134 3945343:11:0:0     84.02     28.96     -8.82     89.31 5.44505 -0.29635 1.73589 1.46649
1997-05-07T15:37:02.467 3945343:11:5:0     84.04     28.98     -8.74     89.33 5.44505 -0.29640 1.84631 1.57691
1997-05-07T15:37:02.801 3945343:12:0:0     83.96     29.09     -8.89     89.30 5.44505 -0.29645 1.95697 1.68757
1997-05-07T15:37:03.134 3945343:12:5:0     83.90     29.03     -8.78     89.22 5.44500 -0.29645 2.06742 1.79802
1997-05-07T15:37:03.467 3945343:13:0:0     83.85     28.90     -8.69     89.12 5.44495 -0.29645 2.17806 1.90869
1997-05-07T15:37:03.801 3945343:13:5:0     83.80     28.90     -8.63     89.06 5.44495 -0.29650 2.28885 2.01948
1997-05-07T15:37:04.134 3945343:14:0:0     83.90     28.74     -8.67     89.11 5.44495 -0.29654 2.39924 2.12987
1997-05-07T15:37:04.467 3945343:14:5:0     84.02     28.70     -8.65     89.21 5.44491 -0.29659 2.50970 2.24033
1997-05-07T15:37:04.801 3945343:15:0:0     84.05     28.64     -8.63     89.22 5.44486 -0.29664 2.62042 2.35108
1997-05-07T15:37:05.134 3945343:15:5:0     84.09     28.55     -8.65     89.22 5.44486 -0.29669 2.73088 2.46154
1997-05-07T15:37:05.467 3945343:16:0:0     84.30     28.50     -8.74     89.41 5.44486 -0.29674 2.84160 2.57226
1997-05-07T15:37:05.801 3945343:16:5:0     84.43     28.46     -8.80     89.53 5.44491 -0.29678 2.95238 2.68304
1997-05-07T15:37:06.134 3945343:17:0:0     84.47     28.55     -8.64     89.58 5.44495 -0.29683 3.06278 2.79341
1997-05-07T15:37:06.467 3945343:17:5:0     84.42     28.51     -8.70     89.52 5.44500 -0.29688 3.17320 2.90383
1997-05-07T15:37:06.801 3945343:18:0:0     84.55     28.43     -8.58     89.61 5.44505 -0.29693 3.28387 3.01447
1997-05-07T15:37:07.134 3945343:18:5:0     84.56     28.63     -8.48     89.68 5.44510 -0.29693 3.39425 3.12485
1997-05-07T15:37:07.467 3945343:19:0:0     84.61     28.80     -8.50     89.78 5.44515 -0.29693 3.50505 3.23562
1997-05-07T15:37:07.801 3945343:19:5:0     84.57     28.92     -8.49     89.78 5.44524 -0.29698 3.61573 3.34630
1997-05-07T15:37:08.134 3945343:20:0:0     84.77     28.63     -8.46     89.88 5.44534 -0.29702 3.72604 3.45655
1997-05-07T15:37:08.467 3945343:20:5:0     84.94     28.62     -8.41     90.02 5.44539 -0.29702 3.83635 3.56687
1997-05-07T15:37:08.801 3945343:21:0:0     85.01     28.72     -8.43     90.12 5.44543 -0.29702 3.94693 3.67741
1997-05-07T15:37:09.134 3945343:21:5:0     85.07     28.64     -8.43     90.16 5.44548 -0.29702 4.05721 3.78769
1997-05-07T15:37:09.467 3945343:22:0:0     85.03     28.63     -8.33     90.11 5.44553 -0.29702 4.16744 3.89789
1997-05-07T15:37:09.801 3945343:22:5:0     85.01     28.61     -8.19     90.07 5.44563 -0.29698 4.27802 4.00847
1997-05-07T15:37:10.134 3945343:23:0:0     84.89     28.33     -7.98     89.85 5.44572 -0.29693 4.38785 4.11825
1997-05-07T15:37:10.467 3945343:23:5:0     84.97     28.35     -8.09     89.94 5.44572 -0.29688 4.49805 4.22845
1997-05-07T15:37:10.801 3945343:24:0:0     84.68     28.59     -8.19     89.75 5.44572 -0.29683 4.60817 4.33857
1997-05-07T15:37:11.134 3945343:24:5:0     84.61     28.39     -8.29     89.63 5.44582 -0.29678 4.71833 4.44873
1997-05-07T15:37:11.467 3945343:25:0:0     84.64     28.46     -8.27     89.68 5.44591 -0.29674 4.82839 4.55873
1997-05-07T15:37:11.801 3945343:25:5:0     84.61     28.67     -8.33     89.72 5.44591 -0.29669 4.93885 4.66918
1997-05-07T15:37:12.134 3945343:26:0:0     84.58     28.70     -8.55     89.72 5.44591 -0.29664 5.04861 4.77895
1997-05-07T15:37:12.467 3945343:26:5:0     84.66     28.91     -8.67     89.87 5.44587 -0.29659 5.15869 4.88903
1997-05-07T15:37:12.801 3945343:27:0:0     84.78     28.75     -8.68     89.94 5.44582 -0.29654 5.26903 4.99939
1997-05-07T15:37:13.134 3945343:27:5:0     84.90     28.75     -8.71     90.06 5.44582 -0.29645 5.37907 5.10944
1997-05-07T15:37:13.467 3945343:28:0:0     84.94     28.97     -8.70     90.16 5.44582 -0.29635 5.48906 5.21942
1997-05-07T15:37:13.801 3945343:28:5:0     85.14     28.98     -8.77     90.36 5.44577 -0.29630 5.59940 5.32976
1997-05-07T15:37:14.134 3945343:29:0:0     85.45     28.79     -8.81     90.60 5.44572 -0.29626 5.70918 5.43958
1997-05-07T15:37:14.467 3945343:29:5:0     85.73     28.95     -8.80     90.91 5.44567 -0.29621 5.81918 5.54957
1997-05-07T15:37:14.801 3945343:30:0:0     85.77     28.79     -8.81     90.91 5.44563 -0.29616 5.92940 5.65983
1997-05-07T15:37:15.134 3945343:30:5:0     85.78     28.64     -8.88     90.87 5.44553 -0.29616 6.03939 5.76982
1997-05-07T15:37:15.467 3945343:31:0:0     85.72     28.66     -8.94     90.83 5.44543 -0.29616 6.14953 5.88001
1997-05-07T15:37:15.801 3945343:31:5:0     85.69     28.54     -8.96     90.76 5.44534 -0.29616 6.25985 5.99033
1997-05-07T15:37:16.134 3945343:32:0:0     85.69     28.60     -8.96     90.78 5.44524 -0.29616 0.08638 6.10011
1997-05-07T15:37:16.467 3945343:32:5:0     85.65     28.87     -8.83     90.81 5.44519 -0.29621 0.19636 6.21008
1997-05-07T15:37:16.801 3945343:33:0:0     85.79     28.84     -8.72     90.92 5.44515 -0.29626 0.30651 0.03708
1997-05-07T15:37:17.134 3945343:33:5:0     85.69     28.94     -8.43     90.83 5.44505 -0.29626 0.41648 0.14705
1997-05-07T15:37:17.467 3945343:34:0:0     85.66     29.03     -8.31     90.83 5.44495 -0.29626 0.52673 0.25736
1997-05-07T15:37:17.801 3945343:34:5:0     85.64     29.06     -8.12     90.80 5.44495 -0.29630 0.63703 0.36766
1997-05-07T15:37:18.134 3945343:35:0:0     85.72     28.96     -8.18     90.85 5.44495 -0.29635 0.74695 0.47758
1997-05-07T15:37:18.467 3945343:35:5:0     85.79     28.99     -8.29     90.93 5.44491 -0.29645 0.85692 0.58755
1997-05-07T15:37:18.801 3945343:36:0:0     85.82     28.85     -8.42     90.92 5.44486 -0.29654 0.96727 0.69793
1997-05-07T15:37:19.134 3945343:36:5:0     86.02     28.65     -8.38     91.05 5.44486 -0.29659 1.07724 0.80790
1997-05-07T15:37:19.467 3945343:37:0:0     86.04     28.62     -8.55     91.07 5.44486 -0.29664 1.18730 0.91796
1997-05-07T15:37:19.801 3945343:37:5:0     86.09     28.55     -8.63     91.11 5.44486 -0.29674 1.29761 1.02827
1997-05-07T15:37:20.134 3945343:38:0:0     86.09     28.45     -8.82     91.10 5.44486 -0.29683 1.40743 1.13809
1997-05-07T15:37:20.467 3945343:38:5:0     86.15     28.47     -8.74     91.15 5.44491 -0.29688 1.51740 1.24806
1997-05-07T15:37:20.801 3945343:39:0:0     86.13     28.44     -8.66     91.11 5.44495 -0.29693 1.62765 1.35828
1997-05-07T15:37:21.134 3945343:39:5:0     86.11     28.47     -8.48     91.09 5.44500 -0.29698 1.73763 1.46826
1997-05-07T15:37:21.467 3945343:40:0:0     86.10     28.72     -8.59     91.17 5.44505 -0.29702 1.84787 1.57847
1997-05-07T15:37:21.801 3945343:40:5:0     85.93     29.08     -8.48     91.12 5.44510 -0.29707 1.95819 1.68879
1997-05-07T15:37:22.134 3945343:41:0:0     85.90     29.08     -8.29     91.07 5.44515 -0.29712 2.06800 1.79857
1997-05-07T15:37:22.467 3945343:41:5:0     85.85     29.16     -8.24     91.04 5.44524 -0.29717 2.17799 1.90856
1997-05-07T15:37:22.801 3945343:42:0:0     85.87     29.07     -8.39     91.05 5.44534 -0.29721 2.28831 2.01883
1997-05-07T15:37:23.134 3945343:42:5:0     85.95     29.07     -8.48     91.13 5.44539 -0.29721 2.39830 2.12881
1997-05-07T15:37:23.467 3945343:43:0:0     86.01     29.09     -8.28     91.17 5.44543 -0.29721 2.50834 2.23883
1997-05-07T15:37:23.801 3945343:43:5:0     86.03     29.10     -8.40     91.20 5.44553 -0.29717 2.61866 2.34914
